n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment
1 bench_cpu_nd_fft 1xE5-2640v3 10 22.8415 64 64 64 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft 1xE5-2640v3 10 45.1687 128 64 64 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft 1xE5-2640v3 10 83.9352 128 128 64 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft 1xE5-2640v3 10 176.867 128 128 128 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft 1xE5-2640v3 10 610.993 256 128 128 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft 1xE5-2640v3 10 1223.49 256 256 128 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft 1xE5-2640v3 10 2298.5 256 256 256 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft 1xE5-2640v3 10 4601.55 512 256 256 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft 1xE5-2640v3 10 10690.4 512 512 256 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft 1xE5-2640v3 10 21284.3 512 512 512 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft 1xE5-2640v3 10 43410.1 1024 512 512 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft 1xE5-2640v3 10 98700.3 1024 1024 512 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft 1xE5-2640v3 10 197889 1024 1024 1024 4 excl_alloc,incl_tx,inplace
n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment
16 bench_cpu_nd_fft 16xE5-2640v3 10 9.11824 64 64 64 4 excl_alloc,incl_tx,inplace
16 bench_cpu_nd_fft 16xE5-2640v3 10 14.0406 128 64 64 4 excl_alloc,incl_tx,inplace
16 bench_cpu_nd_fft 16xE5-2640v3 10 24.3431 128 128 64 4 excl_alloc,incl_tx,inplace
16 bench_cpu_nd_fft 16xE5-2640v3 10 35.8129 128 128 128 4 excl_alloc,incl_tx,inplace
16 bench_cpu_nd_fft 16xE5-2640v3 10 104.985 256 128 128 4 excl_alloc,incl_tx,inplace
16 bench_cpu_nd_fft 16xE5-2640v3 10 154.713 256 256 128 4 excl_alloc,incl_tx,inplace
16 bench_cpu_nd_fft 16xE5-2640v3 10 363.988 256 256 256 4 excl_alloc,incl_tx,inplace
16 bench_cpu_nd_fft 16xE5-2640v3 10 725.921 512 256 256 4 excl_alloc,incl_tx,inplace
16 bench_cpu_nd_fft 16xE5-2640v3 10 1586.34 512 512 256 4 excl_alloc,incl_tx,inplace
16 bench_cpu_nd_fft 16xE5-2640v3 10 3089.8 512 512 512 4 excl_alloc,incl_tx,inplace
16 bench_cpu_nd_fft 16xE5-2640v3 10 5831.28 1024 512 512 4 excl_alloc,incl_tx,inplace
16 bench_cpu_nd_fft 16xE5-2640v3 10 11636.5 1024 1024 512 4 excl_alloc,incl_tx,inplace
16 bench_cpu_nd_fft 16xE5-2640v3 10 21470.7 1024 1024 1024 4 excl_alloc,incl_tx,inplace
