

n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment
1 bench_cpu_many_nd_folds 1xE5-2640v3 10 458.965 64 64 64 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2640v3 10 919.357 128 64 64 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2640v3 10 1835.45 128 128 64 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2640v3 10 3768.01 128 128 128 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2640v3 10 7575.49 256 128 128 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2640v3 10 19599.3 256 256 128 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2640v3 10 40253.2 256 256 256 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2640v3 10 82176.1 512 256 256 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2640v3 10 172063 512 512 256 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2640v3 10 344452 512 512 512 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2640v3 10 737965 1024 512 512 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2640v3 10 1.7999e+06 1024 1024 512 4 global_plan,OK
n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment
16 bench_cpu_many_nd_folds 16xE5-2640v3 10 202.337 64 64 64 4 global_plan,OK
16 bench_cpu_many_nd_folds 16xE5-2640v3 10 532.098 128 64 64 4 global_plan,OK
16 bench_cpu_many_nd_folds 16xE5-2640v3 10 892.59 128 128 64 4 global_plan,OK
16 bench_cpu_many_nd_folds 16xE5-2640v3 10 1727.97 128 128 128 4 global_plan,OK
16 bench_cpu_many_nd_folds 16xE5-2640v3 10 3521.14 256 128 128 4 global_plan,OK
16 bench_cpu_many_nd_folds 16xE5-2640v3 10 10467.5 256 256 128 4 global_plan,OK
16 bench_cpu_many_nd_folds 16xE5-2640v3 10 22922.5 256 256 256 4 global_plan,OK
16 bench_cpu_many_nd_folds 16xE5-2640v3 10 47231.6 512 256 256 4 global_plan,OK
16 bench_cpu_many_nd_folds 16xE5-2640v3 10 98210.5 512 512 256 4 global_plan,OK
16 bench_cpu_many_nd_folds 16xE5-2640v3 10 190830 512 512 512 4 global_plan,OK
16 bench_cpu_many_nd_folds 16xE5-2640v3 10 359290 1024 512 512 4 global_plan,OK
16 bench_cpu_many_nd_folds 16xE5-2640v3 10 794299 1024 1024 512 4 global_plan,OK
