n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment
1 bench_gpu_many_nd_folds Tesla_K20c 10 365.433 64 64 64 4 global_plan,NA
1 bench_gpu_many_nd_folds Tesla_K20c 10 628.836 128 64 64 4 global_plan,NA
1 bench_gpu_many_nd_folds Tesla_K20c 10 1103.91 128 128 64 4 global_plan,NA
1 bench_gpu_many_nd_folds Tesla_K20c 10 1819.85 128 128 128 4 global_plan,NA
1 bench_gpu_many_nd_folds Tesla_K20c 10 3611.91 256 128 128 4 global_plan,NA
1 bench_gpu_many_nd_folds Tesla_K20c 10 8478.85 256 256 128 4 global_plan,NA
1 bench_gpu_many_nd_folds Tesla_K20c 10 16628.7 256 256 256 4 global_plan,NA
1 bench_gpu_many_nd_folds Tesla_K20c 10 34833 512 256 256 4 global_plan,NA
1 bench_gpu_many_nd_folds Tesla_K20c 10 70292.6 512 512 256 4 global_plan,NA
1 bench_gpu_many_nd_folds Tesla_K20c 10 430.581 64 64 64 4 global_plan,NA,plan_many
1 bench_gpu_many_nd_folds Tesla_K20c 10 723.587 128 64 64 4 global_plan,NA,plan_many
1 bench_gpu_many_nd_folds Tesla_K20c 10 1327.08 128 128 64 4 global_plan,NA,plan_many
1 bench_gpu_many_nd_folds Tesla_K20c 10 2555.27 128 128 128 4 global_plan,NA,plan_many
1 bench_gpu_many_nd_folds Tesla_K20c 10 4997.96 256 128 128 4 global_plan,NA,plan_many
1 bench_gpu_many_nd_folds Tesla_K20c 10 12019.2 256 256 128 4 global_plan,NA,plan_many
1 bench_gpu_many_nd_folds Tesla_K20c 10 23467.4 256 256 256 4 global_plan,NA,plan_many
1 bench_gpu_many_nd_folds Tesla_K20c 10 46486.3 512 256 256 4 global_plan,NA,plan_many
