n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment cudaFree_perc cudaFree_ms cudaMemcpy_perc cudaMemcpy_ms cudaMalloc_perc cudaMalloc_ms
1 bench_gpu_many_nd_folds Tesla_K20c 10 366.668 64 64 64 4 global_plan,NA 2.27 4.334553 0 0 3.22 6.147075
1 bench_gpu_many_nd_folds Tesla_K20c 10 529.291 128 64 64 4 global_plan,NA 1.63 4.083962 0 0 2.34 5.849627
1 bench_gpu_many_nd_folds Tesla_K20c 10 1172.37 128 128 64 4 global_plan,NA 1.08 5.318405 0 0 1.57 7.712496
1 bench_gpu_many_nd_folds Tesla_K20c 10 1638.82 128 128 128 4 global_plan,NA 0.64 4.591503 0 0 0.87 6.230746
1 bench_gpu_many_nd_folds Tesla_K20c 10 3541.35 256 128 128 4 global_plan,NA 0.39 5.215741 0 0 0.46 6.154902
1 bench_gpu_many_nd_folds Tesla_K20c 10 9321.72 256 256 128 4 global_plan,NA 0.21 6.377273 0 0 0.27 8.125958
1 bench_gpu_many_nd_folds Tesla_K20c 10 17743.9 256 256 256 4 global_plan,NA 0.11 6.406192 0 0 0.14 7.968541
1 bench_gpu_many_nd_folds Tesla_K20c 10 34399.1 512 256 256 4 global_plan,NA 0.07 7.091191 0 0 0.08 8.455889
1 bench_gpu_many_nd_folds Tesla_K20c 10 69249.2 512 512 256 4 global_plan,NA 0.04 9.214010 0 0 0.09 18.92705
1 bench_gpu_many_nd_folds Tesla_K20c 10 472.049 64 64 64 4 global_plan,NA,plan_many 4.00 7.231643 0 0 4.82 8.730717
1 bench_gpu_many_nd_folds Tesla_K20c 10 673.424 128 64 64 4 global_plan,NA,plan_many 4.50 10.08975 0 0 3.67 8.234844
1 bench_gpu_many_nd_folds Tesla_K20c 10 1226.7 128 128 64 4 global_plan,NA,plan_many 4.07 13.54738 0 0 2.53 8.398267
1 bench_gpu_many_nd_folds Tesla_K20c 10 2655.85 128 128 128 4 global_plan,NA,plan_many 2.86 21.19864 0 0 1.29 9.572371
1 bench_gpu_many_nd_folds Tesla_K20c 10 6169.21 256 128 128 4 global_plan,NA,plan_many 2.68 36.63796 0 0 0.93 12.63930
1 bench_gpu_many_nd_folds Tesla_K20c 10 12043.9 256 256 128 4 global_plan,NA,plan_many 3.39 64.47884 0 0 0.64 12.10495
1 bench_gpu_many_nd_folds Tesla_K20c 10 23952.6 256 256 256 4 global_plan,NA,plan_many 3.01 121.5365 0 0 0.41 16.39272
1 bench_gpu_many_nd_folds Tesla_K20c 10 46731.8 512 256 256 4 global_plan,NA,plan_many 3.29 237.4939 0 0 0.35 25.45700
