n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment cudaFree_perc cudaFree_ms cudaMemcpy_perc cudaMemcpy_ms cudaMalloc_perc cudaMalloc_ms
1 bench_gpu_nd_fft Tesla_K20c 10 80 64 64 64 4 incl_alloc,incl_tx,out-of-place 2.73 1.940328 5.24 3.730012 5.64 4.011818
1 bench_gpu_nd_fft Tesla_K20c 10 80 128 64 64 4 incl_alloc,incl_tx,out-of-place 2.71 2.021277 9.49 7.066183 5.41 4.031513
1 bench_gpu_nd_fft Tesla_K20c 10 80 128 128 64 4 incl_alloc,incl_tx,out-of-place 2.36 1.974760 16.32 13.67191 4.83 4.044994
1 bench_gpu_nd_fft Tesla_K20c 10 100 128 128 128 4 incl_alloc,incl_tx,out-of-place 1.99 2.027485 26.46 27.00286 3.98 4.066644
1 bench_gpu_nd_fft Tesla_K20c 10 150 256 128 128 4 incl_alloc,incl_tx,out-of-place 1.54 2.127366 38.63 53.40712 3.09 4.274913
1 bench_gpu_nd_fft Tesla_K20c 10 220 256 256 128 4 incl_alloc,incl_tx,out-of-place 1.04 2.219205 49.78 106.4573 2.28 4.881203
1 bench_gpu_nd_fft Tesla_K20c 10 370 256 256 256 4 incl_alloc,incl_tx,out-of-place 0.67 2.410918 59.14 212.2814 1.31 4.691796
1 bench_gpu_nd_fft Tesla_K20c 10 680 512 256 256 4 incl_alloc,incl_tx,out-of-place 0.43 2.899809 62.95 424.1373 0.83 5.587231
1 bench_gpu_nd_fft Tesla_K20c 10 1340 512 512 256 4 incl_alloc,incl_tx,out-of-place 0.29 3.885339 64.37 848.0043 0.54 7.059063
1 bench_gpu_nd_fft Tesla_K20c 10 90 64 64 64 4 excl_alloc,incl_tx,out-of-place 1.49 1.253790 4.82 4.038916 3.67 3.080629
1 bench_gpu_nd_fft Tesla_K20c 10 90 128 64 64 4 excl_alloc,incl_tx,out-of-place 1.43 1.195542 8.49 7.110536 4.03 3.373332
1 bench_gpu_nd_fft Tesla_K20c 10 100 128 128 64 4 excl_alloc,incl_tx,out-of-place 1.27 1.170817 14.95 13.78813 3.21 2.957148
1 bench_gpu_nd_fft Tesla_K20c 10 120 128 128 128 4 excl_alloc,incl_tx,out-of-place 0.99 1.106496 24.18 26.98016 2.49 2.777094
1 bench_gpu_nd_fft Tesla_K20c 10 140 256 128 128 4 excl_alloc,incl_tx,out-of-place 0.75 1.050971 37.94 53.47842 1.84 2.594532
1 bench_gpu_nd_fft Tesla_K20c 10 220 256 256 128 4 excl_alloc,incl_tx,out-of-place 0.52 1.114108 49.88 106.4839 1.37 2.934029
1 bench_gpu_nd_fft Tesla_K20c 10 370 256 256 256 4 excl_alloc,incl_tx,out-of-place 0.34 1.238561 58.55 212.5466 0.83 3.028944
1 bench_gpu_nd_fft Tesla_K20c 10 740 512 256 256 4 excl_alloc,incl_tx,out-of-place 0.22 1.593149 62.65 454.0148 0.56 4.065874
1 bench_gpu_nd_fft Tesla_K20c 10 1320 512 512 256 4 excl_alloc,incl_tx,out-of-place 0.15 1.981819 64.78 848.4432 0.36 4.661344
1 bench_gpu_nd_fft Tesla_K20c 10 90 64 64 64 4 excl_alloc,excl_tx,out-of-place 1.60 1.163764 0 0 3.93 2.861745
1 bench_gpu_nd_fft Tesla_K20c 10 80 128 64 64 4 excl_alloc,excl_tx,out-of-place 1.59 1.146374 0 0 4.03 2.904136
1 bench_gpu_nd_fft Tesla_K20c 10 80 128 128 64 4 excl_alloc,excl_tx,out-of-place 1.59 1.183109 0 0 4.56 3.385834
1 bench_gpu_nd_fft Tesla_K20c 10 80 128 128 128 4 excl_alloc,excl_tx,out-of-place 1.57 1.189324 0 0 3.91 2.954077
1 bench_gpu_nd_fft Tesla_K20c 10 90 256 128 128 4 excl_alloc,excl_tx,out-of-place 1.46 1.222642 0 0 3.63 3.048082
1 bench_gpu_nd_fft Tesla_K20c 10 90 256 256 128 4 excl_alloc,excl_tx,out-of-place 1.33 1.090992 0 0 3.34 2.735193
1 bench_gpu_nd_fft Tesla_K20c 10 100 256 256 256 4 excl_alloc,excl_tx,out-of-place 1.25 1.269018 0 0 2.91 2.961408
1 bench_gpu_nd_fft Tesla_K20c 10 180 512 256 256 4 excl_alloc,excl_tx,out-of-place 0.87 1.456191 0 0 2.12 3.550311
1 bench_gpu_nd_fft Tesla_K20c 10 310 512 512 256 4 excl_alloc,excl_tx,out-of-place 0.66 2.006746 0 0 1.57 4.824010
1 bench_gpu_nd_fft Tesla_K20c 10 90 64 64 64 4 incl_alloc,incl_tx,inplace 2.67 2.247841 4.50 3.788745 5.53 4.656873
1 bench_gpu_nd_fft Tesla_K20c 10 100 128 64 64 4 incl_alloc,incl_tx,inplace 2.73 2.484112 8.66 7.871457 5.53 5.028359
1 bench_gpu_nd_fft Tesla_K20c 10 120 128 128 64 4 incl_alloc,incl_tx,inplace 2.43 2.461482 16.11 16.32330 4.95 5.012228
1 bench_gpu_nd_fft Tesla_K20c 10 130 128 128 128 4 incl_alloc,incl_tx,inplace 2.04 2.325994 23.60 26.96703 4.13 4.716938
1 bench_gpu_nd_fft Tesla_K20c 10 150 256 128 128 4 incl_alloc,incl_tx,inplace 1.44 2.041182 37.73 53.62670 3.03 4.300680
1 bench_gpu_nd_fft Tesla_K20c 10 220 256 256 128 4 incl_alloc,incl_tx,inplace 1.04 2.242671 49.25 106.3926 2.03 4.395176
1 bench_gpu_nd_fft Tesla_K20c 10 370 256 256 256 4 incl_alloc,incl_tx,inplace 0.67 2.410638 59.33 212.4150 1.34 4.808497
1 bench_gpu_nd_fft Tesla_K20c 10 690 512 256 256 4 incl_alloc,incl_tx,inplace 0.43 2.871592 63.10 424.3759 0.83 5.566769
1 bench_gpu_nd_fft Tesla_K20c 10 1320 512 512 256 4 incl_alloc,incl_tx,inplace 0.30 3.999314 64.55 847.4618 0.56 7.367553
1 bench_gpu_nd_fft Tesla_K20c 10 90 64 64 64 4 excl_alloc,incl_tx,inplace 1.45 1.171729 4.71 3.798317 3.54 2.855249
1 bench_gpu_nd_fft Tesla_K20c 10 90 128 64 64 4 excl_alloc,incl_tx,inplace 1.42 1.168232 8.60 7.096780 3.48 2.870334
1 bench_gpu_nd_fft Tesla_K20c 10 100 128 128 64 4 excl_alloc,incl_tx,inplace 1.20 1.153432 14.30 13.73763 3.00 2.886539
1 bench_gpu_nd_fft Tesla_K20c 10 120 128 128 128 4 excl_alloc,incl_tx,inplace 1.07 1.188836 24.33 26.95970 2.64 2.927817
1 bench_gpu_nd_fft Tesla_K20c 10 140 256 128 128 4 excl_alloc,incl_tx,inplace 0.77 1.062077 38.81 53.42988 1.89 2.599704
1 bench_gpu_nd_fft Tesla_K20c 10 220 256 256 128 4 excl_alloc,incl_tx,inplace 0.52 1.100071 50.70 106.3584 1.30 2.721712
1 bench_gpu_nd_fft Tesla_K20c 10 370 256 256 256 4 excl_alloc,incl_tx,inplace 0.34 1.221941 59.77 212.2237 0.85 3.001638
1 bench_gpu_nd_fft Tesla_K20c 10 710 512 256 256 4 excl_alloc,incl_tx,inplace 0.22 1.558786 64.23 452.7464 0.55 3.878771
1 bench_gpu_nd_fft Tesla_K20c 10 1320 512 512 256 4 excl_alloc,incl_tx,inplace 0.15 1.945776 64.77 847.5394 0.36 4.654497
1 bench_gpu_nd_fft Tesla_K20c 10 80 64 64 64 4 excl_alloc,excl_tx,inplace 1.64 1.197636 0 0 3.90 2.845263
1 bench_gpu_nd_fft Tesla_K20c 10 70 128 64 64 4 excl_alloc,excl_tx,inplace 1.58 1.160556 0 0 3.86 2.832691
1 bench_gpu_nd_fft Tesla_K20c 10 70 128 128 64 4 excl_alloc,excl_tx,inplace 1.47 1.044272 0 0 3.56 2.525669
1 bench_gpu_nd_fft Tesla_K20c 10 80 128 128 128 4 excl_alloc,excl_tx,inplace 1.54 1.212164 0 0 3.76 2.950584
1 bench_gpu_nd_fft Tesla_K20c 10 90 256 128 128 4 excl_alloc,excl_tx,inplace 1.56 1.345005 0 0 4.11 3.538711
1 bench_gpu_nd_fft Tesla_K20c 10 110 256 256 128 4 excl_alloc,excl_tx,inplace 1.35 1.282913 0 0 3.36 3.195100
1 bench_gpu_nd_fft Tesla_K20c 10 110 256 256 256 4 excl_alloc,excl_tx,inplace 1.19 1.223688 0 0 2.88 2.957428
1 bench_gpu_nd_fft Tesla_K20c 10 170 512 256 256 4 excl_alloc,excl_tx,inplace 0.89 1.474417 0 0 2.14 3.537601
1 bench_gpu_nd_fft Tesla_K20c 10 310 512 512 256 4 excl_alloc,excl_tx,inplace 0.64 1.917490 0 0 1.51 4.558189
1 bench_gpu_nd_fft Tesla_K20c 10 60 64 64 64 4 excl_alloc,excl_tx,inplace 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 70 128 64 64 4 excl_alloc,excl_tx,inplace 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 60 128 128 64 4 excl_alloc,excl_tx,inplace 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 60 128 128 128 4 excl_alloc,excl_tx,inplace 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 70 256 128 128 4 excl_alloc,excl_tx,inplace 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 80 256 256 128 4 excl_alloc,excl_tx,inplace 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 100 256 256 256 4 excl_alloc,excl_tx,inplace 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 150 512 256 256 4 excl_alloc,excl_tx,inplace 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 290 512 512 256 4 excl_alloc,excl_tx,inplace 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 520 512 512 512 4 excl_alloc,excl_tx,inplace 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 990 1024 512 512 4 excl_alloc,excl_tx,inplace 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 60 64 64 64 4 excl_alloc,excl_tx,out-of-place 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 50 128 64 64 4 excl_alloc,excl_tx,out-of-place 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 60 128 128 64 4 excl_alloc,excl_tx,out-of-place 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 70 128 128 128 4 excl_alloc,excl_tx,out-of-place 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 70 256 128 128 4 excl_alloc,excl_tx,out-of-place 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 80 256 256 128 4 excl_alloc,excl_tx,out-of-place 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 100 256 256 256 4 excl_alloc,excl_tx,out-of-place 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 150 512 256 256 4 excl_alloc,excl_tx,out-of-place 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 310 512 512 256 4 excl_alloc,excl_tx,out-of-place 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 530 512 512 512 4 excl_alloc,excl_tx,out-of-place 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 990 1024 512 512 4 excl_alloc,excl_tx,out-of-place 0 0 0 0 0 0
1 bench_gpu_nd_fft Tesla_K20c 10 80 64 64 64 4 incl_alloc,incl_tx,inplace 1.54 1.087919 5.34 3.763533 2.55 1.799807
1 bench_gpu_nd_fft Tesla_K20c 10 80 128 64 64 4 incl_alloc,incl_tx,inplace 1.45 1.103911 9.33 7.085464 2.40 1.818736
