n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment
1 bench_cpu_nd_fft E5-26400 10 22.3753 64 64 64 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 43.4718 128 64 64 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 96.3622 128 128 64 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 198.975 128 128 128 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 663.491 256 128 128 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 1490.67 256 256 128 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 3056.59 256 256 256 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 6398.92 512 256 256 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 16325.4 512 512 256 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 37269.2 512 512 512 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 77295.8 1024 512 512 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 199880 1024 1024 512 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 399747 1024 1024 1024 4 excl_alloc,incl_tx,inplace
n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment
12 bench_cpu_nd_fft E5-26400 10 14.8823 64 64 64 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 10.8748 128 64 64 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 22.5888 128 128 64 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 60.8572 128 128 128 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 78.1429 256 128 128 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 146.063 256 256 128 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 319.197 256 256 256 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 660.71 512 256 256 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 1524.22 512 512 256 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 3357.9 512 512 512 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 6913.57 1024 512 512 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 17806.2 1024 1024 512 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 35907.7 1024 1024 1024 4 excl_alloc,incl_tx,inplace
