n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 577.488 64 64 64 4 global_plan,NA
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 867.638 128 64 64 4 global_plan,NA
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 1607.66 128 128 64 4 global_plan,NA
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 2827.59 128 128 128 4 global_plan,NA
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 5778.17 256 128 128 4 global_plan,NA
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 13097.5 256 256 128 4 global_plan,NA
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 25817.8 256 256 256 4 global_plan,NA
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 51505.3 512 256 256 4 global_plan,NA
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 102593 512 512 256 4 global_plan,NA
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 203966 512 512 512 4 global_plan,NA
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 647.679 64 64 64 4 global_plan,NA,plan_many
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 1177.05 128 64 64 4 global_plan,NA,plan_many
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 2101.81 128 128 64 4 global_plan,NA,plan_many
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 4025.91 128 128 128 4 global_plan,NA,plan_many
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 8336.22 256 128 128 4 global_plan,NA,plan_many
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 19349.9 256 256 128 4 global_plan,NA,plan_many
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 37320.9 256 256 256 4 global_plan,NA,plan_many
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 74168.4 512 256 256 4 global_plan,NA,plan_many
