n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment cudaFree_perc cudaFree_ms cudaMemcpy_perc cudaMemcpy_ms cudaMalloc_perc cudaMalloc_ms
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 577.488 64 64 64 4 global_plan,NA 1.79 4.044225 0 0 2.56 5.783758
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 867.638 128 64 64 4 global_plan,NA 1.67 4.089909 0 0 2.41 5.901516
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 1607.66 128 128 64 4 global_plan,NA 1.19 4.433594 0 0 1.79 6.681993
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 2827.59 128 128 128 4 global_plan,NA 0.75 4.572856 0 0 1.06 6.484061
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 5778.17 256 128 128 4 global_plan,NA 0.46 5.256323 0 0 0.61 6.856736
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 13097.5 256 256 128 4 global_plan,NA 0.29 6.394102 0 0 0.35 7.691618
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 25817.8 256 256 256 4 global_plan,NA 0.19 8.145164 0 0 0.22 9.532420
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 51505.3 512 256 256 4 global_plan,NA 0.13 10.76170 0 0 0.16 13.42035
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 102593 512 512 256 4 global_plan,NA 0.10 16.19605 0 0 0.11 18.18946
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 203966 512 512 512 4 global_plan,NA 0.08 28.46157 0 0 0.09 30.88520
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 647.679 64 64 64 4 global_plan,NA,plan_many 3.75 6.063127 0 0 4.87 7.870270
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 1177.05 128 64 64 4 global_plan,NA,plan_many 3.42 7.079099 0 0 4.05 8.381160
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 2101.81 128 128 64 4 global_plan,NA,plan_many 3.60 10.47109 0 0 3.21 9.350627
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 4025.91 128 128 128 4 global_plan,NA,plan_many 3.27 16.30046 0 0 2.41 12.00284
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 8336.22 256 128 128 4 global_plan,NA,plan_many 3.42 28.03372 0 0 1.76 14.43528
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 19349.9 256 256 128 4 global_plan,NA,plan_many 2.65 51.81361 0 0 1.10 21.55496
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 37320.9 256 256 256 4 global_plan,NA,plan_many 3.09 97.94816 0 0 1.10 34.83779
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 74168.4 512 256 256 4 global_plan,NA,plan_many 3.24 193.3637 0 0 1.04 61.86803
