gpu alloc tx type repeats total_time_ms shape data_in_mb exp_gmem_in_mb cudaFree_perc cudaFree_ms cudaMemcpy_perc cudaMemcpy_ms cudaMalloc_perc cudaMalloc_ms
Tesla_K20c incl_alloc incl_tx out-of-place 10 180 64x64x64 1 2.03125 2.25 3.637316 2.55 4.130264 5.17 8.372579
Tesla_K20c incl_alloc incl_tx out-of-place 10 100 128x64x64 2 4.0625 2.27 2.335857 6.94 7.147383 4.83 4.970293
Tesla_K20c incl_alloc incl_tx out-of-place 10 200 128x128x64 4 8.125 2.08 3.737170 8.03 14.40970 4.81 8.618959
Tesla_K20c incl_alloc incl_tx out-of-place 10 140 128x128x128 8 16.125 1.75 2.332242 20.37 27.09417 3.77 5.018430
Tesla_K20c incl_alloc incl_tx out-of-place 10 260 256x128x128 16 32.25 1.68 4.176184 22.25 55.16652 3.57 8.861583
Tesla_K20c incl_alloc incl_tx out-of-place 10 270 256x256x128 32 64.5 1.07 2.727067 41.64 106.4622 2.17 5.558336
Tesla_K20c incl_alloc incl_tx out-of-place 10 560 256x256x256 64 128.5 0.98 5.337850 40.19 218.6842 2.01 10.91691
Tesla_K20c incl_alloc incl_tx out-of-place 10 730 512x256x256 128 257 0.52 3.928911 55.83 423.7486 1.00 7.575906
Tesla_K20c incl_alloc incl_tx out-of-place 10 1820 512x512x256 256 514 0.61 10.85200 48.19 862.5790 1.03 18.38124
Tesla_K20c excl_alloc incl_tx out-of-place 10 110 64x64x64 1 2.03125 1.18 1.139081 3.97 3.830411 3.18 3.062611
Tesla_K20c excl_alloc incl_tx out-of-place 10 180 128x64x64 2 4.0625 1.17 1.904275 4.65 7.550747 3.24 5.257213
Tesla_K20c excl_alloc incl_tx out-of-place 10 200 128x128x64 4 8.125 1.51 2.604460 8.30 14.36343 3.09 5.349174
Tesla_K20c excl_alloc incl_tx out-of-place 10 140 128x128x128 8 16.125 0.91 1.195507 20.67 27.07302 2.47 3.232638
Tesla_K20c excl_alloc incl_tx out-of-place 10 180 256x128x128 16 32.25 0.73 1.245454 31.27 53.64386 1.96 3.364440
Tesla_K20c excl_alloc incl_tx out-of-place 10 360 256x256x128 32 64.5 0.66 2.227405 32.21 109.5261 1.78 6.037571
Tesla_K20c excl_alloc incl_tx out-of-place 10 410 256x256x256 64 128.5 0.38 1.572004 51.15 212.6565 0.97 4.017388
Tesla_K20c excl_alloc incl_tx out-of-place 10 850 512x256x256 128 257 0.35 3.010094 50.17 431.1173 0.88 7.522998
Tesla_K20c excl_alloc incl_tx out-of-place 10 1790 512x512x256 256 514 0.29 5.114637 48.47 862.3827 0.68 12.11348
Tesla_K20c excl_alloc excl_tx out-of-place 10 160 64x64x64 1 2.03125 1.30 1.947088 0 0 3.45 5.177164
Tesla_K20c excl_alloc excl_tx out-of-place 10 90 128x64x64 2 4.0625 1.28 1.145757 0 0 3.39 3.036377
Tesla_K20c excl_alloc excl_tx out-of-place 10 90 128x128x64 4 8.125 1.30 1.180252 0 0 3.43 3.107207
Tesla_K20c excl_alloc excl_tx out-of-place 10 180 128x128x128 8 16.125 1.29 2.000991 0 0 3.45 5.365068
Tesla_K20c excl_alloc excl_tx out-of-place 10 110 256x128x128 16 32.25 1.30 1.278472 0 0 3.41 3.346617
Tesla_K20c excl_alloc excl_tx out-of-place 10 110 256x256x128 32 64.5 1.22 1.343750 0 0 3.23 3.559473
Tesla_K20c excl_alloc excl_tx out-of-place 10 140 256x256x256 64 128.5 1.21 1.566325 0 0 3.19 4.132557
Tesla_K20c excl_alloc excl_tx out-of-place 10 200 512x256x256 128 257 1.08 2.049002 0 0 2.63 4.988715
Tesla_K20c excl_alloc excl_tx out-of-place 10 330 512x512x256 256 514 0.86 2.815029 0 0 2.04 6.698443
Tesla_K20c incl_alloc incl_tx inplace 10 110 64x64x64 1 2.03125 2.32 2.271501 3.89 3.813594 5.07 4.974126
Tesla_K20c incl_alloc incl_tx inplace 10 120 128x64x64 2 4.0625 2.22 2.284941 6.94 7.150587 4.77 4.916678
Tesla_K20c incl_alloc incl_tx inplace 10 200 128x128x64 4 8.125 2.13 3.771027 8.11 14.36690 4.82 8.536561
Tesla_K20c incl_alloc incl_tx inplace 10 140 128x128x128 8 16.125 1.77 2.357354 20.35 27.09170 3.78 5.026208
Tesla_K20c incl_alloc incl_tx inplace 10 180 256x128x128 16 32.25 1.41 2.443715 30.97 53.62723 3.03 5.244340
Tesla_K20c incl_alloc incl_tx inplace 10 280 256x256x128 32 64.5 1.30 3.542183 39.60 107.5526 2.56 6.939937
Tesla_K20c incl_alloc incl_tx inplace 10 400 256x256x256 64 128.5 0.75 3.139209 50.82 212.2503 1.49 6.225376
Tesla_K20c incl_alloc incl_tx inplace 10 740 512x256x256 128 257 0.55 4.254262 55.34 425.5049 1.03 7.932946
Tesla_K20c incl_alloc incl_tx inplace 10 1820 512x512x256 256 514 0.59 10.54740 48.21 868.3275 1.03 18.63919
Tesla_K20c excl_alloc incl_tx inplace 10 90 64x64x64 1 2.03125 1.18 1.130795 3.99 3.825636 3.18 3.047974
Tesla_K20c excl_alloc incl_tx inplace 10 120 128x64x64 2 4.0625 1.17 1.174788 7.12 7.142246 3.08 3.084564
Tesla_K20c excl_alloc incl_tx inplace 10 190 128x128x64 4 8.125 1.14 1.938278 8.43 14.36903 3.02 5.148540
Tesla_K20c excl_alloc incl_tx inplace 10 220 128x128x128 8 16.125 1.02 2.011775 14.22 28.02722 2.81 5.531923
Tesla_K20c excl_alloc incl_tx inplace 10 170 256x128x128 16 32.25 0.74 1.266423 31.10 53.50697 1.95 3.362234
Tesla_K20c excl_alloc incl_tx inplace 10 360 256x256x128 32 64.5 0.67 2.261958 32.28 109.3784 1.79 6.051288
