gpu alloc tx type repeats total_time_ms shape data_in_mb exp_gmem_in_mb cudaFree_perc cudaFree_ms cudaMemcpy_perc cudaMemcpy_ms cudaMalloc_perc cudaMalloc_ms
Tesla_M2090 incl_alloc incl_tx out-of-place 10 130 64x64x64 1 2.03125 2.14 2.382709 3.48 3.875626 5.73 6.390558
Tesla_M2090 incl_alloc incl_tx out-of-place 10 140 128x64x64 2 4.0625 2.07 2.421409 6.14 7.195957 5.51 6.456379
Tesla_M2090 incl_alloc incl_tx out-of-place 10 140 128x128x64 4 8.125 1.87 2.389576 10.84 13.82290 5.02 6.397394
Tesla_M2090 incl_alloc incl_tx out-of-place 10 170 128x128x128 8 16.125 1.66 2.475908 18.11 27.07090 4.37 6.534273
Tesla_M2090 incl_alloc incl_tx out-of-place 10 220 256x128x128 16 32.25 1.35 2.572679 28.12 53.56664 3.54 6.735695
Tesla_M2090 incl_alloc incl_tx out-of-place 10 300 256x256x128 32 64.5 1.01 2.768084 38.75 106.5125 2.54 6.994678
Tesla_M2090 incl_alloc incl_tx out-of-place 10 450 256x256x256 64 128.5 0.71 3.125309 48.01 212.4368 1.72 7.594844
Tesla_M2090 incl_alloc incl_tx out-of-place 10 820 512x256x256 128 257 0.49 3.899434 52.85 424.7853 1.10 8.859524
Tesla_M2090 incl_alloc incl_tx out-of-place 10 1560 512x512x256 256 514 0.35 5.428406 54.77 847.9072 0.72 11.19091
Tesla_M2090 excl_alloc incl_tx out-of-place 10 130 64x64x64 1 2.03125 1.11 1.203474 3.67 3.990313 3.71 4.032451
Tesla_M2090 excl_alloc incl_tx out-of-place 10 140 128x64x64 2 4.0625 1.09 1.229974 6.35 7.189594 3.56 4.035439
Tesla_M2090 excl_alloc incl_tx out-of-place 10 140 128x128x64 4 8.125 0.99 1.242039 11.05 13.82300 3.28 4.103646
Tesla_M2090 excl_alloc incl_tx out-of-place 10 150 128x128x128 8 16.125 0.88 1.270762 18.69 27.05747 2.86 4.142184
Tesla_M2090 excl_alloc incl_tx out-of-place 10 200 256x128x128 16 32.25 0.69 1.297554 28.65 53.54104 2.30 4.298764
Tesla_M2090 excl_alloc incl_tx out-of-place 10 280 256x256x128 32 64.5 0.52 1.400809 39.17 106.5069 1.65 4.473375
Tesla_M2090 excl_alloc incl_tx out-of-place 10 440 256x256x256 64 128.5 0.36 1.592517 48.53 212.3994 1.12 4.895127
Tesla_M2090 excl_alloc incl_tx out-of-place 10 810 512x256x256 128 257 0.25 1.962008 53.12 424.7514 0.72 5.777369
Tesla_M2090 excl_alloc incl_tx out-of-place 10 1560 512x512x256 256 514 0.18 2.703448 54.96 847.9928 0.48 7.363964
Tesla_M2090 excl_alloc excl_tx out-of-place 10 120 64x64x64 1 2.03125 1.22 1.229840 0 0 4.02 4.059334
Tesla_M2090 excl_alloc excl_tx out-of-place 10 120 128x64x64 2 4.0625 1.21 1.232181 0 0 3.98 4.055839
Tesla_M2090 excl_alloc excl_tx out-of-place 10 130 128x128x64 4 8.125 1.20 1.247151 0 0 3.91 4.077589
Tesla_M2090 excl_alloc excl_tx out-of-place 10 130 128x128x128 8 16.125 1.16 1.250399 0 0 3.85 4.140035
Tesla_M2090 excl_alloc excl_tx out-of-place 10 130 256x128x128 16 32.25 1.16 1.322604 0 0 3.75 4.284553
Tesla_M2090 excl_alloc excl_tx out-of-place 10 150 256x256x128 32 64.5 1.06 1.385636 0 0 3.40 4.432817
Tesla_M2090 excl_alloc excl_tx out-of-place 10 170 256x256x256 64 128.5 1.00 1.587352 0 0 3.10 4.915888
Tesla_M2090 excl_alloc excl_tx out-of-place 10 260 512x256x256 128 257 0.80 1.963108 0 0 2.36 5.776327
Tesla_M2090 excl_alloc excl_tx out-of-place 10 450 512x512x256 256 514 0.61 2.691377 0 0 1.67 7.367408
Tesla_M2090 incl_alloc incl_tx inplace 10 120 64x64x64 1 2.03125 2.14 2.392744 3.47 3.873366 5.71 6.377166
Tesla_M2090 incl_alloc incl_tx inplace 10 120 128x64x64 2 4.0625 2.07 2.404510 6.18 7.194735 5.47 6.366370
Tesla_M2090 incl_alloc incl_tx inplace 10 150 128x128x64 4 8.125 1.87 2.402172 10.74 13.82394 4.97 6.392734
Tesla_M2090 incl_alloc incl_tx inplace 10 170 128x128x128 8 16.125 1.66 2.464079 18.25 27.06801 4.47 6.632271
Tesla_M2090 incl_alloc incl_tx inplace 10 210 256x128x128 16 32.25 1.35 2.566681 28.22 53.55730 3.52 6.687286
