gpu alloc tx type repeats total_time_ms shape data_in_mb exp_gmem_in_mb cudaFree_perc cudaFree_ms cudaMemcpy_perc cudaMemcpy_ms cudaMalloc_perc cudaMalloc_ms
NVS_5200M incl_alloc incl_tx out-of-place 10 100 64x64x64 1 2.03125 9.09 7.644963 9.88 8.305937 3.48 2.921567
NVS_5200M incl_alloc incl_tx out-of-place 10 90 128x64x64 2 4.0625 15.88 14.90094 13.95 13.08919 2.90 2.720139
NVS_5200M incl_alloc incl_tx out-of-place 10 130 128x128x64 4 8.125 23.78 29.33779 20.89 25.77152 2.17 2.680578
NVS_5200M incl_alloc incl_tx out-of-place 10 190 128x128x128 8 16.125 32.01 56.91422 28.71 51.04937 1.59 2.823141
NVS_5200M incl_alloc incl_tx out-of-place 10 300 256x128x128 16 32.25 39.10 113.4308 35.04 101.6522 1.01 2.921608
NVS_5200M incl_alloc incl_tx out-of-place 10 520 256x256x128 32 64.5 44.24 227.9844 39.35 202.7690 0.62 3.169674
NVS_5200M incl_alloc incl_tx out-of-place 10 960 256x256x256 64 128.5 46.89 450.9365 42.16 405.4088 0.39 3.733328
NVS_5200M incl_alloc incl_tx out-of-place 10 2080 512x256x256 128 257 53.59 1.11e+03 39.24 810.2679 0.23 4.726957
NVS_5200M incl_alloc incl_tx out-of-place 10 4520 512x512x256 256 514 58.81 2.65e+03 35.95 1.62e+03 0.15 6.733552
NVS_5200M excl_alloc incl_tx out-of-place 10 100 64x64x64 1 2.03125 8.26 7.084409 7.97 6.833693 2.27 1.950040
NVS_5200M excl_alloc incl_tx out-of-place 10 100 128x64x64 2 4.0625 15.15 14.29896 13.93 13.15362 2.06 1.942378
NVS_5200M excl_alloc incl_tx out-of-place 10 130 128x128x64 4 8.125 23.74 28.84963 21.10 25.63964 1.54 1.866477
NVS_5200M excl_alloc incl_tx out-of-place 10 190 128x128x128 8 16.125 31.56 56.24831 28.67 51.10577 1.12 1.994088
NVS_5200M excl_alloc incl_tx out-of-place 10 290 256x128x128 16 32.25 38.95 112.7627 35.06 101.4931 0.71 2.069970
NVS_5200M excl_alloc incl_tx out-of-place 10 530 256x256x128 32 64.5 44.04 227.2169 39.31 202.8174 0.43 2.227138
NVS_5200M excl_alloc incl_tx out-of-place 10 960 256x256x256 64 128.5 46.89 450.1527 42.20 405.0617 0.29 2.736824
NVS_5200M excl_alloc incl_tx out-of-place 10 2080 512x256x256 128 257 53.59 1.11e+03 39.27 810.0153 0.16 3.226816
NVS_5200M excl_alloc incl_tx out-of-place 10 4500 512x512x256 256 514 58.83 2.65e+03 36.03 1.62e+03 0.10 4.302219
NVS_5200M excl_alloc excl_tx out-of-place 10 90 64x64x64 1 2.03125 8.62 6.805535 0 0 2.78 2.199127
NVS_5200M excl_alloc excl_tx out-of-place 10 80 128x64x64 2 4.0625 18.05 14.60895 0 0 2.63 2.127860
NVS_5200M excl_alloc excl_tx out-of-place 10 100 128x128x64 4 8.125 30.35 28.82336 0 0 2.12 2.015897
NVS_5200M excl_alloc excl_tx out-of-place 10 140 128x128x128 8 16.125 44.59 56.75778 0 0 1.95 2.478423
NVS_5200M excl_alloc excl_tx out-of-place 10 190 256x128x128 16 32.25 63.61 112.9191 0 0 1.16 2.063146
NVS_5200M excl_alloc excl_tx out-of-place 10 300 256x256x128 32 64.5 77.93 227.3849 0 0 0.77 2.232260
NVS_5200M excl_alloc excl_tx out-of-place 10 520 256x256x256 64 128.5 87.58 449.9820 0 0 0.47 2.397257
NVS_5200M excl_alloc excl_tx out-of-place 10 1180 512x256x256 128 257 94.36 1.10e+03 0 0 0.28 3.253195
NVS_5200M excl_alloc excl_tx out-of-place 10 2730 512x512x256 256 514 97.53 2.65e+03 0 0 0.16 4.316405
NVS_5200M incl_alloc incl_tx inplace 10 140 64x64x64 1 2.03125 6.71 7.692259 6.11 7.005520 4.03 4.622872
NVS_5200M incl_alloc incl_tx inplace 10 130 128x64x64 2 4.0625 13.07 15.29090 11.30 13.21933 2.90 3.389926
NVS_5200M incl_alloc incl_tx inplace 10 180 128x128x64 4 8.125 18.20 30.47681 15.60 26.12756 2.99 5.014677
NVS_5200M incl_alloc incl_tx inplace 10 210 128x128x128 8 16.125 27.71 58.40013 24.35 51.31708 2.21 4.657804
NVS_5200M incl_alloc incl_tx inplace 10 340 256x128x128 16 32.25 34.70 115.2366 30.66 101.8243 1.63 5.401742
NVS_5200M incl_alloc incl_tx inplace 10 570 256x256x128 32 64.5 41.03 229.9490 36.17 202.6699 1.00 5.619252
NVS_5200M incl_alloc incl_tx inplace 10 1010 256x256x256 64 128.5 45.26 451.6510 40.55 404.6950 0.65 6.488246
NVS_5200M incl_alloc incl_tx inplace 10 2130 512x256x256 128 257 52.04 1.11e+03 37.93 807.4151 0.36 7.738764
NVS_5200M incl_alloc incl_tx inplace 10 4530 512x512x256 256 514 58.62 2.65e+03 35.84 1.62e+03 0.17 7.642354
NVS_5200M excl_alloc incl_tx inplace 10 90 64x64x64 1 2.03125 8.59 7.173354 8.21 6.861417 2.69 2.246187
NVS_5200M excl_alloc incl_tx inplace 10 100 128x64x64 2 4.0625 15.43 14.35920 14.12 13.14042 2.04 1.894415
NVS_5200M excl_alloc incl_tx inplace 10 120 128x128x64 4 8.125 23.85 29.03286 21.10 25.68355 1.57 1.910871
NVS_5200M excl_alloc incl_tx inplace 10 190 128x128x128 8 16.125 31.15 56.22637 28.72 51.84358 1.20 2.161797
NVS_5200M excl_alloc incl_tx inplace 10 300 256x128x128 16 32.25 39.03 112.8099 35.20 101.7288 0.69 2.005847
NVS_5200M excl_alloc incl_tx inplace 10 530 256x256x128 32 64.5 44.24 227.3848 39.49 202.9883 0.44 2.287283
