n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment cudaFree_perc cudaFree_ms cudaMemcpy_perc cudaMemcpy_ms cudaMalloc_perc cudaMalloc_ms
1 bench_gpu_many_nd_folds Tesla_K20c 10 343.778 64 64 64 4 global_plan,NA 2.21 4.076214 2.13 3.932962 3.0 5.529192
1 bench_gpu_many_nd_folds Tesla_K20c 10 566.127 128 64 64 4 global_plan,NA 1.62 4.265971 1.8 4.754936 2.39 6.307293
1 bench_gpu_many_nd_folds Tesla_K20c 10 925.772 128 128 64 4 global_plan,NA 1.04 4.374575 1.04 4.409848 1.43 6.045528
1 bench_gpu_many_nd_folds Tesla_K20c 10 1605.69 128 128 128 4 global_plan,NA 0.63 4.520471 0.63 4.520042 0.85 6.09337
1 bench_gpu_many_nd_folds Tesla_K20c 10 3536.77 256 128 128 4 global_plan,NA 0.4 5.251919 0.49 6.524303 0.46 6.086873
1 bench_gpu_many_nd_folds Tesla_K20c 10 8751.14 256 256 128 4 global_plan,NA 0.22 5.715172 0.24 6.093029 0.25 6.479735
1 bench_gpu_many_nd_folds Tesla_K20c 10 17149.3 256 256 256 4 global_plan,NA 0.12 6.015146 0.13 6.217414 0.15 7.283185
1 bench_gpu_many_nd_folds Tesla_K20c 10 34448.5 512 256 256 4 global_plan,NA 0.07 6.967993 0.06 5.804581 0.08 8.429493
1 bench_gpu_many_nd_folds Tesla_K20c 10 71558.6 512 512 256 4 global_plan,NA 0.04 9.61651 0.03 6.218242 0.05 11.24019
1 bench_gpu_many_nd_folds Tesla_K20c 10 457.187 64 64 64 4 global_plan,NA,plan_many 3.99 6.74973 26.53 44.84451 4.86 8.210329
1 bench_gpu_many_nd_folds Tesla_K20c 10 738.067 128 64 64 4 global_plan,NA,plan_many 4.39 10.40494 41.4 98.21293 3.69 8.742865
1 bench_gpu_many_nd_folds Tesla_K20c 10 1524.07 128 128 64 4 global_plan,NA,plan_many 3.24 14.26368 64.0 281.6825 2.05 9.01406
1 bench_gpu_many_nd_folds Tesla_K20c 10 2558.42 128 128 128 4 global_plan,NA,plan_many 3.1 22.1204 62.02 442.4817 1.53 10.88839
1 bench_gpu_many_nd_folds Tesla_K20c 10 5625.01 256 128 128 4 global_plan,NA,plan_many 2.72 36.43457 75.8 1010.0 0.87 11.60692
1 bench_gpu_many_nd_folds Tesla_K20c 10 12676.2 256 256 128 4 global_plan,NA,plan_many 2.77 65.13444 76.93 1810.0 0.58 13.62714
1 bench_gpu_many_nd_folds Tesla_K20c 10 23938.5 256 256 256 4 global_plan,NA,plan_many 3.01 121.5464 67.17 2710.0 0.41 16.50279
1 bench_gpu_many_nd_folds Tesla_K20c 10 47952.3 512 256 256 4 global_plan,NA,plan_many 2.94 238.9618 77.48 6290.0 0.32 26.35117
