n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment cudaFree_perc cudaFree_ms cudaMemcpy_perc cudaMemcpy_ms cudaMalloc_perc cudaMalloc_ms
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 573.361 64 64 64 4 global_plan,NA 1.85 4.038645 2.13 4.635936 2.59 5.64603
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 886.877 128 64 64 4 global_plan,NA 1.74 4.289162 1.95 4.795307 2.39 5.888941
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 1627.57 128 128 64 4 global_plan,NA 1.18 4.384289 1.34 4.988625 1.75 6.526943
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 2840.9 128 128 128 4 global_plan,NA 0.75 4.677201 0.81 5.011671 1.07 6.646582
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 5790.06 256 128 128 4 global_plan,NA 0.47 5.295713 0.52 5.903039 0.62 7.030781
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 13144.2 256 256 128 4 global_plan,NA 0.3 6.415125 0.29 6.257368 0.38 8.224158
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 25796.4 256 256 256 4 global_plan,NA 0.19 7.811676 0.15 6.354777 0.22 9.22757
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 51308.4 512 256 256 4 global_plan,NA 0.13 11.17174 0.07 6.343686 0.15 12.61675
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 102997 512 512 256 4 global_plan,NA 0.1 16.73019 0.04 6.627652 0.11 18.74707
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 204186 512 512 512 4 global_plan,NA 0.08 28.32363 0.02 6.673252 0.09 30.7437
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 719.777 64 64 64 4 global_plan,NA,plan_many 3.35 6.337117 19.86 37.56027 4.24 8.015961
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 1166.91 128 64 64 4 global_plan,NA,plan_many 3.6 7.722342 29.3 62.9218 4.18 8.979916
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 2194.77 128 128 64 4 global_plan,NA,plan_many 3.38 10.96242 42.93 139.0493 3.38 10.95956
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 3996.23 128 128 128 4 global_plan,NA,plan_many 3.31 16.37917 44.65 220.7101 2.24 11.09009
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 8363.37 256 128 128 4 global_plan,NA,plan_many 3.41 28.14938 53.34 440.0726 1.74 14.38262
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 18892.6 256 256 128 4 global_plan,NA,plan_many 3.35 51.65018 56.28 867.1875 1.38 21.27651
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 37382.5 256 256 256 4 global_plan,NA,plan_many 3.1 98.13834 54.43 1720.0 1.1 34.82375
1 bench_gpu_many_nd_folds GeForce_GTX_TITAN_Black 10 74294 512 256 256 4 global_plan,NA,plan_many 3.21 193.2113 60.7 3650.0 1.03 62.16151
